drugbank_id,half_life,half_life_unit,half_life_unit_mixed,half_life_n_records,half_life_hours
DB15149,2.9,hours,False,1,2.9
DB15165,12.0,days,False,1,288.0
DB15171,5.0,days,False,1,120.0
DB15226,30.0,minutes,False,1,0.5
DB15233,32.0,hours,False,1,32.0
DB15258,89.0,hours,False,1,89.0
DB15270,80.0,hours,False,1,80.0
DB15271,9.1,days,False,2,218.39999999999998
DB15283,7.5,hours,False,1,7.5
DB15303,7.5,days,False,1,180.0
DB09082,12.7,hours,False,4,12.7
DB15328,5.0,hours,False,1,5.0
DB15395,22.0,days,False,1,528.0
DB15413,0.44,hours,False,1,0.44
DB15434,11.05,days,False,2,265.20000000000005
DB15442,14.0,hours,False,1,14.0
DB15444,24.7,hours,False,1,24.7
DB15456,30.0,hours,False,1,30.0
DB15463,14.0,hours,False,1,14.0
DB15489,38.7,hours,False,2,38.7
DB15494,39.333333333333336,minutes,False,3,0.6555555555555556
DB15566,2.0,hours,False,1,2.0
DB15568,23.0,hours,False,1,23.0
DB15569,5.5,hours,False,1,5.5
DB15575,1.19,hours,False,1,1.19
DB15593,3.4,hours,False,1,3.4
DB15598,0.7,hours,False,1,0.7
DB15617,1.0,days,False,1,24.0
DB15622,1.0,hours,False,1,1.0
DB15626,25.5,days,False,1,612.0
DB15627,25.4,days,False,1,609.5999999999999
DB15636,89.5,days,True,2,170.0
DB15669,9.6,hours,False,1,9.6
DB15673,9.0,days,True,2,792.0
DB15685,32.0,hours,False,1,32.0
DB15688,6.55,hours,False,1,6.55
DB15694,6.7,hours,False,1,6.7
DB15719,13.0,days,False,2,312.0
DB15762,30.0,days,False,1,720.0
DB15766,19.0,days,False,1,456.0
DB15822,18.45,hours,False,2,18.45
DB15873,12.7,hours,False,1,12.7
DB15874,98.5,minutes,False,2,1.6416666666666666
DB15898,21.2,days,False,1,508.79999999999995
DB15935,5.2,hours,False,1,5.2
DB15965,8.2,days,False,1,196.79999999999998
DB15982,93.0,hours,False,1,93.0
DB16019,68.0,minutes,False,1,1.1333333333333333
DB16098,11.0,hours,False,1,11.0
DB16099,1.6,hours,False,1,1.6
DB16165,10.566666666666666,hours,False,3,10.566666666666666
DB16217,10.0,hours,False,1,10.0
DB16220,30.7,hours,False,1,30.7
DB16222,7.06,days,False,1,169.44
DB16226,1.6,hours,False,1,1.6
DB16258,69.0,days,False,1,1656.0
DB00361,27.7,hours,False,1,27.7
DB16267,67.0,hours,False,1,67.0
DB16310,152.0,hours,False,1,152.0
DB16371,6.54,days,False,1,156.96
DB16385,23.46666666666667,days,False,3,563.2
DB16390,18.0,hours,False,1,18.0
DB16393,82.9,days,False,1,1989.6000000000001
DB00163,28.0,hours,True,2,22.1
DB16405,17.0,days,False,1,408.0
DB16416,95.0,hours,False,1,95.0
DB16627,2.1,minutes,False,1,0.035
DB16628,1.2,hours,False,1,1.2
DB16650,10.0,hours,False,1,10.0
DB16655,3.8,days,False,1,91.19999999999999
DB11693,30.0,hours,False,1,30.0
DB14975,51.625,hours,True,4,396.625
DB16672,22.0,days,False,1,528.0
DB16678,10.3,days,False,2,247.2
DB16691,6.05,hours,False,1,6.05
DB16694,8.0,days,False,1,192.0
DB16695,11.3,days,False,1,271.20000000000005
DB16699,5.2,hours,False,1,5.2
DB16701,39.2,hours,False,1,39.2
DB16703,19.0,hours,False,1,19.0
DB16704,2.52,hours,False,1,2.52
DB16708,1.6,hours,False,1,1.6
DB16732,4.04,days,False,1,96.96000000000001
DB16755,11.5,days,False,1,276.0
DB00425,2.55,hours,False,2,2.55
DB16778,41.6,hours,False,1,41.6
DB17083,15.0,hours,False,1,15.0
DB17084,1.5,hours,False,1,1.5
DB17449,12.0,hours,False,1,12.0
DB17472,19.0,hours,False,1,19.0
DB17635,15.0,hours,False,1,15.0
DB17992,264.0,hours,False,1,264.0
DB01610,4.08,hours,False,1,4.08
DB15490,19.7,hours,False,1,19.7
